hf22_tgwt,cond_sur,cond_lcr,cond_mcr,cond_uma,cond_man,geop_mag,geop_grv,geop_dtb,eqi200n5,eqd200n5,geod_shr,geod_dil,geod_2nd,vent_ing,dTrend005,dTrend03,dTrend01,hfqc_tRise,fault01,fault02,fault03,fault04,fault05,fault06,fault07,fault08,faultAl,hfqc_resid
80.1116028,2.9353199,3.67872,2.8957,3.8523099,4.2571702,-34.3512001,6.0963602,2.3822401,653.7999878,212.6999969,0.0,1.4,1.4,141605.0,92.145401,79.4707031,91.7061996,0.0108121,184963.0,26666.90039,2474.870117,2474.870117,500.0,500.0,500.0,500.0,500.0,220.1341149
95.9673996,4.1981201,4.2117,3.3755801,3.8705001,4.1894202,-53.1810989,-0.45128,173.6190033,352.2999878,399.2999878,0.0,5.0999999,4.8000002,56002.19922,-158.2120056,-163.6150055,-169.7480011,0.0173628,79690.0,2136.0,2136.0,250.0,250.0,250.0,250.0,250.0,250.0,109.8288061
87.9002991,2.57164,3.7275801,2.65576,3.7799699,4.1444802,-67.6269989,-10.4003,167.5399933,667.7999878,0.0,0.0,3.2,3.2,29472.40039,-86.8607025,9.1707802,-51.8078995,0.0304584,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,95.10100739
75.1243973,2.9700699,3.7569699,2.95437,3.8312399,4.17345,164.4360046,-10.3155003,38.7839012,80.4000015,0.0,0.0,-0.8,0.6,34481.89844,-234.4720001,-323.5820007,-294.0320129,0.0098353,206278.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,112.8862605
76.6475983,3.8491299,4.9685302,2.2158699,4.31354,4.2262602,27.7110996,-9.5639095,1073.390015,594.0,350.7999878,2.0999999,4.6999998,7.0,9753.209961,-157.0549927,-240.378006,-184.3880005,0.0169688,367003.0,23814.40039,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,19.60480199
77.6461029,3.0093601,3.9168301,3.0279701,4.0033398,4.23735,152.5610046,1.37833,1.80709,2168.399902,473.5,0.0,-2.5999999,1.9,51259.80078,-140.6920013,-95.5796967,-130.4320068,0.0045865,216590.0,25842.09961,250.0,250.0,250.0,250.0,250.0,250.0,250.0,1144.35031
76.7169037,2.36779,4.2683802,2.55584,4.0865002,4.2845998,197.447998,-14.1341,136.4559937,932.7999878,0.0,14.1999998,-0.1,20.1000004,18922.5,-320.4159851,-343.322998,-322.4150085,0.0156248,36062.39844,11800.40039,8310.379883,8310.379883,1457.73999,1457.73999,1457.73999,1457.73999,1457.73999,623.3053829
88.3588028,3.2118001,4.2048001,3.2724099,3.6039801,4.0813699,-28.1499996,4.42272,35.8894005,2537.5,618.2000122,0.0,5.1999998,5.1999998,52794.39844,185.973999,73.7021027,159.451004,0.0153064,6731.459961,6519.200195,2610.080078,2610.080078,2610.080078,2610.080078,2610.080078,2610.080078,2610.080078,95.64783
78.1835022,2.91658,4.0819001,2.9932499,4.0023298,4.2263799,-27.7971001,-21.6056995,586.0679932,553.2000122,405.7999878,1.7,3.2,5.1999998,20000.0,-144.5200043,-144.2189941,-155.6880035,0.0070874,378602.0,20554.80078,4609.77002,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,1521.815239
74.3078003,2.8889699,3.7960601,2.96281,3.84812,4.1727099,277.1229858,6.1932101,16.9015007,59.5999985,0.0,0.0,-1.0,0.7,45267.30078,-277.8280029,-313.0130005,-307.9200134,0.0081851,217636.0,1600.780029,1600.780029,1600.780029,1600.780029,1600.780029,1600.780029,1600.780029,1600.780029,-15.29993006
79.3047028,2.5991299,3.84653,2.7864499,3.89013,4.1781602,-144.6660004,-15.2896004,194.8820038,104.3000031,0.0,0.2,-0.1,0.4,30562.40039,230.8430023,305.4989929,264.5690002,0.0111682,167544.0,14311.2998,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,185.6956685
86.047699,3.40731,4.4128399,3.9142599,4.29877,4.4321899,-71.4196014,22.6457005,68.9812012,1926.099976,729.9000244,2.5,7.8000002,10.3999996,56435.80078,-129.9570007,-271.0419922,-181.5740051,0.0208673,40746.19922,12811.09961,12811.09961,12811.09961,12811.09961,11051.0,11051.0,11051.0,11051.0,235.5617543
76.6798019,4.0680699,4.5777702,2.8933001,4.2039499,4.2189002,308.0710144,2.7237401,134.5559998,624.2000122,706.5999756,2.0,4.5999999,6.9000001,6403.120117,-32.5672989,-93.2304993,-51.0575981,0.0190114,357546.0,22512.5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,513.2507012
86.5854034,2.0127599,4.6017098,3.89733,3.85374,4.2379699,-159.6369934,-14.5454998,785.9689941,361.2999878,161.0,10.3999996,8.1999998,21.3999996,41705.10156,-18.9127998,12.4595003,8.96033,0.0121327,34058.80078,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,79.02502878
99.7533035,1.37611,5.1428499,2.89417,3.9932101,4.27951,83.3823013,-1.35534,850.9959717,56.5,116.3000031,0.2,1.3,1.5,52655.69922,-248.0540009,-158.8970032,-228.2369995,0.0074649,68805.89844,61301.0,61301.0,14577.40039,14577.40039,14577.40039,14577.40039,14577.40039,2250.0,6.251087726
76.2482986,2.63643,4.3772402,3.2644801,4.0667,4.2360401,199.727005,-3.9240799,21.7616997,3136.199951,8237.200195,1.8,3.5,5.5,25412.80078,-85.1000977,-146.7030029,-134.0019989,0.019012,399504.0,19623.0,7198.089844,7198.089844,7198.089844,7198.089844,7198.089844,7198.089844,7198.089844,12.77919405
